Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
99.1,8010869570,1,8010869570.0,8010869570.0,8010869570,8010869570,0.0,MEMORY_OPER,[CUDA memcpy Device-to-Host]
0.4,35356254,1,35356254.0,35356254.0,35356254,35356254,0.0,CUDA_KERNEL,daxpy_27_gpu
0.4,34622428,1,34622428.0,34622428.0,34622428,34622428,0.0,CUDA_KERNEL,daxpy_20_gpu
