10,0.006
11,0.007
12,0.008
13,0.009
14,0.011
15,0.012
16,0.013
17,0.015
18,0.017
19,0.018
20,0.020
21,0.021
22,0.023
23,0.025
24,0.027
25,0.029
26,0.031
27,0.032
28,0.035
29,0.037
30,0.039
31,0.041
32,0.043
33,0.047
34,0.049
35,0.051
36,0.053
37,0.056
38,0.059
39,0.061
40,0.064
41,0.066
42,0.069
43,0.073
44,0.076
45,0.078
46,0.082
47,0.086
48,0.084
49,0.089
50,0.093
51,0.096
52,0.099
53,0.102
54,0.106
55,0.109
56,0.113
57,0.118
58,0.120
59,0.122
60,0.127
61,0.131
62,0.135
63,0.138
64,0.136
65,0.155
66,0.160
10,0.006
11,0.007
12,0.008
13,0.009
14,0.010
15,0.012
16,0.013
17,0.015
18,0.016
19,0.018
20,0.020
21,0.021
22,0.023
23,0.025
24,0.027
25,0.029
26,0.031
27,0.033
28,0.035
29,0.037
30,0.039
31,0.041
32,0.043
33,0.047
34,0.050
35,0.052
36,0.054
37,0.056
38,0.061
39,0.061
40,0.064
41,0.066
42,0.070
43,0.073
44,0.076
45,0.080
46,0.083
47,0.086
48,0.084
49,0.089
50,0.093
51,0.096
52,0.100
53,0.103
54,0.107
55,0.110
56,0.114
57,0.118
58,0.120
59,0.123
60,0.128
61,0.131
62,0.136
63,0.139
64,0.136
65,0.157
66,0.161
67,0.164
68,0.170
69,0.173
70,0.178
71,0.183
72,0.184
73,0.193
74,0.193
75,0.199
76,0.203
77,0.211
78,0.214
79,0.222
80,0.218
81,0.226
82,0.230
83,0.236
84,0.242
85,0.250
86,0.254
87,0.256
88,0.259
89,0.264
90,0.275
91,0.272
92,0.277
93,0.284
94,0.288
95,0.296
96,0.297
97,0.311
98,0.310
99,0.315
100,0.325
101,0.331
102,0.338
103,0.335
104,0.342
105,0.350
106,0.361
107,0.368
108,0.364
109,0.373
110,0.379
111,0.374
112,0.371
113,0.387
114,0.390
115,0.402
116,0.412
117,0.411
118,0.419
119,0.427
120,0.435
121,0.435
122,0.444
123,0.449
124,0.456
125,0.461
126,0.472
127,0.476
128,0.463
129,0.478
130,0.483
131,0.488
132,0.502
133,0.496
134,0.509
135,0.520
136,0.518
137,0.520
138,0.530
139,0.542
140,0.547
141,0.551
142,0.558
143,0.571
144,0.558
145,0.573
146,0.584
147,0.594
148,0.590
149,0.601
150,0.610
151,0.615
152,0.619
153,0.627
154,0.640
155,0.638
156,0.651
157,0.651
158,0.654
159,0.664
160,0.663
161,0.675
162,0.684
163,0.702
164,0.701
165,0.709
166,0.720
167,0.731
168,0.734
169,0.741
170,0.721
171,0.731
172,0.753
173,0.767
174,0.769
175,0.788
176,0.764
177,0.788
178,0.805
179,0.815
180,0.811
181,0.818
182,0.783
183,0.806
184,0.820
185,0.828
186,0.848
187,0.859
188,0.866
189,0.875
190,0.868
191,0.877
192,0.871
193,0.886
194,0.900
195,0.921
196,0.918
197,0.937
198,0.924
199,0.952
200,0.952
10,0.005
20,0.016
30,0.032
40,0.053
50,0.076
60,0.105
70,0.149
80,0.182
90,0.231
100,0.274
110,0.320
120,0.359
130,0.399
140,0.461
150,0.496
160,0.535
170,0.599
180,0.662
190,0.731
200,0.791
210,0.845
220,0.888
230,0.949
240,0.962
250,1.076
260,1.135
270,1.191
280,1.223
290,1.355
300,1.387
310,1.436
320,1.453
330,1.576
340,1.672
350,1.721
360,1.758
370,1.806
380,1.889
390,1.884
400,1.921
410,2.024
420,2.140
430,2.142
440,2.228
450,2.328
460,2.385
470,2.459
480,2.442
490,2.534
500,2.557
510,2.627
520,2.673
530,2.727
540,2.766
550,2.930
560,2.899
570,3.006
580,3.037
590,3.147
600,3.111
610,3.276
620,3.282
630,3.410
640,3.317
650,3.431
660,3.441
670,3.351
680,3.393
690,3.470
700,3.443
710,3.496
720,3.334
730,15.160
740,15.372
750,15.146
760,15.127
770,15.282
780,15.232
790,15.367
800,15.122
810,15.258
820,15.343
830,15.347
840,15.335
850,15.364
860,15.261
870,15.335
880,15.320
890,15.423
900,15.429
910,15.406
920,15.275
930,15.379
940,15.422
950,15.333
960,15.285
970,15.453
980,15.318
990,15.467
1000,15.385
