Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Category,Operation
88.8,27115278408,4,6778819602.0,8122312135.5,1719081337,9151572800,3410141346.0,MEMORY_OPER,[CUDA memcpy Device-to-Host]
11.0,3359212820,2,1679606410.0,1679606410.0,1676968952,1682243868,3729928.9,MEMORY_OPER,[CUDA memcpy Host-to-Device]
0.1,35827998,1,35827998.0,35827998.0,35827998,35827998,0.0,CUDA_KERNEL,daxpy_29_gpu
0.1,34609436,1,34609436.0,34609436.0,34609436,34609436,0.0,CUDA_KERNEL,daxpy_20_gpu
